IncId,Description,Submitter,CreateDate,IncidentStatus,AssignedGroup,Region,City,Category,WorkLog,Hub,Node,Agent,AlertDetails,AlertProcessId,AlertKey,Related_Tickets,Related_CR,CR_Description,CR_StartTime,CR_EndTime,CR_Region
INC0001,Node Down reported in Philadelphia. Automated monitoring detected abnormal behavior.,CustomerCare,1759628011,Open,VideoOps,East,Philadelphia,Node Down,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-D4,NODE-505,PulseAI,Signal drop detected,241263,HUB-D4-NODE-505-241263,INC0433,CR71375,Planned power cycle maintenance,,,East
INC0002,Packet Loss reported in Salt Lake City. Automated monitoring detected abnormal behavior.,Technician,1752199145,In Progress,NOC-Level1,West,Salt Lake City,Packet Loss,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-B1,NODE-505,NoiseReducer,Frequent modem resets observed,482706,HUB-B1-NODE-505-482706,INC0232,CR35808,Planned CMTS software upgrade,1752188345,1752202745,West
INC0003,Video Outage reported in Miami. Automated monitoring detected abnormal behavior.,Technician,1762332550,Resolved,NOC-Level1,South,Miami,Video Outage,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-D4,NODE-101,SignalAnalyzer,Signal drop detected,539700,HUB-D4-NODE-101-539700,INC0267,CR17741,Core router reboot for patching,1762321750,1762332550,South
INC0004,Hub Issue reported in Salt Lake City. Automated monitoring detected abnormal behavior.,System,1751019739,Cancelled,NOC-Level2,West,Salt Lake City,Hub Issue,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-A1,NODE-505,PulseAI,MAC domain downstream failure,367688,HUB-A1-NODE-505-367688,INC0462,CR67028,Optical node recalibration event,1751034139,1751066539,West
INC0005,Modem Offline reported in Denver. Automated monitoring detected abnormal behavior.,Technician,1758913258,Open,VideoOps,West,Denver,Modem Offline,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-A1,NODE-404,NoiseReducer,Optical power low,473567,HUB-A1-NODE-404-473567,INC0420,CR56952,Core router reboot for patching,,,West
INC0006,Modem Offline reported in Boulder. Automated monitoring detected abnormal behavior.,Technician,1763839343,Cancelled,FieldOps,West,Boulder,Modem Offline,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-B1,NODE-303,PulseAI,CMTS upstream channel flap,145230,HUB-B1-NODE-303-145230,INC0250,CR17191,Fiber maintenance activity,1763853743,1763860943,West
INC0007,Authentication Failure reported in Houston. Automated monitoring detected abnormal behavior.,Technician,1756336863,Cancelled,FieldOps,South,Houston,Authentication Failure,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-C2,NODE-505,PulseAI,MAC domain downstream failure,711548,HUB-C2-NODE-505-711548,INC0250,CR83022,Optical node recalibration event,1756351263,1756383663,South
INC0008,Fiber Cut reported in Miami. Automated monitoring detected abnormal behavior.,System,1751661573,Open,NOC-Level1,South,Miami,Fiber Cut,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AlertBot""}",HUB-D4,NODE-303,AlertBot,High SNR variance,198927,HUB-D4-NODE-303-198927,INC0271,CR90580,Optical node recalibration event,1751665173,1751690373,South
INC0009,Slow Speed reported in Denver. Automated monitoring detected abnormal behavior.,Technician,1752361323,Resolved,NOC-Level1,West,Denver,Slow Speed,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-D4,NODE-303,SignalAnalyzer,Optical power low,270455,HUB-D4-NODE-303-270455,INC0119,CR65300,Scheduled hub clean-up activity,,,West
INC0010,Slow Speed reported in Miami. Automated monitoring detected abnormal behavior.,System,1756795612,In Progress,NetEng,South,Miami,Slow Speed,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-A1,NODE-202,SignalAnalyzer,High SNR variance,424493,HUB-A1-NODE-202-424493,INC0291,CR18339,Core router reboot for patching,1756799212,1756835212,South
INC0011,Node Down reported in St. Louis. Automated monitoring detected abnormal behavior.,Technician,1764436396,Resolved,NOC-Level1,Central,St. Louis,Node Down,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-B1,NODE-505,PulseAI,CMTS upstream channel flap,940239,HUB-B1-NODE-505-940239,INC0202,CR56207,Planned power cycle maintenance,1764457996,1764468796,Central
INC0012,Node Down reported in Boulder. Automated monitoring detected abnormal behavior.,System,1751813187,Cancelled,NOC-Level1,West,Boulder,Node Down,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-C2,NODE-202,SignalAnalyzer,Video feed disruption,934473,HUB-C2-NODE-202-934473,INC0172,CR69940,Optical node recalibration event,1751816787,1751841987,West
INC0013,Fiber Cut reported in Miami. Automated monitoring detected abnormal behavior.,System,1755802153,In Progress,NOC-Level1,South,Miami,Fiber Cut,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-D4,NODE-505,PulseAI,CMTS upstream channel flap,532680,HUB-D4-NODE-505-532680,INC0007,CR63982,Fiber maintenance activity,1755791353,1755816553,South
INC0014,Modem Offline reported in Philadelphia. Automated monitoring detected abnormal behavior.,BMC-Remedy,1753601697,In Progress,NOC-Level1,East,Philadelphia,Modem Offline,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-A1,NODE-404,SignalAnalyzer,Optical power low,116805,HUB-A1-NODE-404-116805,INC0460,CR70556,Fiber maintenance activity,1753590897,1753612497,East
INC0015,Internet Down reported in Boston. Automated monitoring detected abnormal behavior.,BMC-Remedy,1750272792,Resolved,NOC-Level1,East,Boston,Internet Down,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-D4,NODE-404,NoiseReducer,Optical power low,796112,HUB-D4-NODE-404-796112,INC0214,CR69286,Optical node recalibration event,1750265592,1750290792,East
INC0016,Video Outage reported in Houston. Automated monitoring detected abnormal behavior.,CustomerCare,1761181279,Open,NOC-Level1,South,Houston,Video Outage,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-D4,NODE-404,SignalAnalyzer,High SNR variance,582144,HUB-D4-NODE-404-582144,INC0146,CR99903,Backbone congestion mitigation changes,1761170479,1761195679,South
INC0017,Video Outage reported in Dallas. Automated monitoring detected abnormal behavior.,Technician,1757253012,Open,NOC-Level1,Central,Dallas,Video Outage,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-B1,NODE-303,NoiseReducer,CMTS upstream channel flap,921774,HUB-B1-NODE-303-921774,INC0271,CR96209,Planned CMTS software upgrade,1757242212,1757256612,Central
INC0018,Slow Speed reported in Atlanta. Automated monitoring detected abnormal behavior.,System,1754447317,Open,NetEng,South,Atlanta,Slow Speed,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-B1,NODE-303,PulseAI,MAC domain downstream failure,661818,HUB-B1-NODE-303-661818,INC0032,CR35772,Fiber maintenance activity,1754454517,1754468917,South
INC0019,Modem Offline reported in Houston. Automated monitoring detected abnormal behavior.,BMC-Remedy,1763814326,Open,NOC-Level2,South,Houston,Modem Offline,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-D4,NODE-202,SignalAnalyzer,High SNR variance,400615,HUB-D4-NODE-202-400615,INC0271,CR93152,Core router reboot for patching,1763803526,1763835926,South
INC0020,Hub Issue reported in Dallas. Automated monitoring detected abnormal behavior.,Technician,1760530000,Cancelled,NOC-Level1,Central,Dallas,Hub Issue,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-D4,NODE-303,SignalAnalyzer,Video feed disruption,310146,HUB-D4-NODE-303-310146,INC0415,CR91963,Core router reboot for patching,,,Central
INC0021,Video Outage reported in Houston. Automated monitoring detected abnormal behavior.,CustomerCare,1762550030,Cancelled,NOC-Level2,South,Houston,Video Outage,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-B1,NODE-101,SignalAnalyzer,CMTS upstream channel flap,433227,HUB-B1-NODE-101-433227,INC0129,CR20714,Planned CMTS software upgrade,1762539230,1762582430,South
